#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:primates" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:primates" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:primates">
#                <taxonset id="TaxonSet.primates" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:primates" name="distribution" x="@birthRate.t:primates">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="RateACPrior.s:primates" name="distribution">
#            <parameter id="rateAC.s:primates" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateAGPrior.s:primates" name="distribution">
#            <parameter id="rateAG.s:primates" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta">20.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateATPrior.s:primates" name="distribution">
#            <parameter id="rateAT.s:primates" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.2" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateCGPrior.s:primates" name="distribution">
#            <parameter id="rateCG.s:primates" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.3" name="distr">
#                <parameter estimate="false" id="RealParameter.7" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.8" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateGTPrior.s:primates" name="distribution">
#            <parameter id="rateGT.s:primates" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.5" name="distr">
#                <parameter estimate="false" id="RealParameter.11" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.12" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@primates" id="treeLikelihood.primates" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:primates">
#            <siteModel id="SiteModel.s:primates" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:primates" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:primates" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:primates" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="gtr.s:primates" rateAC="@rateAC.s:primates" rateAG="@rateAG.s:primates" rateAT="@rateAT.s:primates" rateCG="@rateCG.s:primates" rateGT="@rateGT.s:primates" spec="beast.evolution.substitutionmodel.GTR">
#                    <parameter estimate="false" id="rateCT.s:primates" lower="0.0" name="rateCT">1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:primates" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:primates" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:primates" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:primates" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	rateAC	rateAG	rateAT	rateCG	rateGT
0	-2124.8741452729364	-2129.675149035692	-2124.8741452729364	-4.801003762755432	-2124.8741452729364	0.03846006994228727	10.087385921361701	50.617502161375896	0.25397102190270815	0.26858447837742033	0.217155256817506	0.26028924290236555	0.4347805513720881	0.9703221978631439	0.6890570416040485	0.3401818445482257	3.2299333957290646
1	-2071.8742563511523	-2084.5221586343346	-2071.8742563511523	-12.64790228318243	-2071.8742563511523	0.0666488840057191	4.830672822895047	54.12609880729594	0.23398594791482039	0.26544992392956024	0.22762574493884977	0.27293838321676966	0.36981713766260416	1.8610190650915215	1.735530160007263	1.1854331167809107	2.8301716615352874
2	-2070.498120405924	-2073.8229016733917	-2070.498120405924	-3.324781267467735	-2070.498120405924	0.022569265517886	11.78590444551298	107.89577097260162	0.21756489133263607	0.2592594375103678	0.24569834615733993	0.2774773249996562	0.1704997973374937	1.0603457660379652	0.5904073904576135	1.8618683726174434	2.0300985021396993
3	-2005.698048426231	-2014.4644250448653	-2005.698048426231	-8.766376618634338	-2005.698048426231	0.06290210633102744	6.264980440604113	38.81703380708508	0.21796016030148097	0.2622269618618753	0.24508229565997997	0.2747305821766638	0.33916334971452694	0.9089801464567527	0.5221199650002177	2.216369973796147	1.1021358846268046
4	-2003.3113642321448	-2014.8873987257657	-2003.3113642321448	-11.576034493620874	-2003.3113642321448	0.07234205131786088	5.6276104457272975	24.423423356720395	0.21977836811939871	0.26003670514560684	0.2433868407016813	0.27679808603331313	0.7368653988436913	1.9479307813726987	0.5077396037826112	2.216369973796147	1.9851496709118657
5	-1971.7625385461529	-1981.6850791415084	-1971.7625385461529	-9.92254059535539	-1971.7625385461529	0.12722263425536293	4.8768562428712965	12.537248613672428	0.22885838423497284	0.24812767381243891	0.2433375421866424	0.2796763997659458	0.2341258912448374	1.067781707638324	0.7421902970959555	1.8236223742591462	0.9450108170750808
6	-1957.8816307799773	-1962.574129787337	-1957.8816307799773	-4.692499007359562	-1957.8816307799773	0.031839398339272386	10.34885977627721	47.59659876870789	0.21911105567977243	0.2494237938859637	0.24942486438809913	0.2820402860461647	0.3632107450229402	2.8130324160812004	0.9536549298616223	1.0452636618276325	0.4093473777945996
7	-1921.0736502980453	-1925.9948806627824	-1921.0736502980453	-4.921230364736979	-1921.0736502980453	0.030508414939486885	9.809582786230024	45.13140691776685	0.22015011786077412	0.2527096905556862	0.2496213916302458	0.2775187999532938	0.3866747974677625	4.111932592713685	0.5241466482909893	0.4201156814476814	0.8531498227510959
8	-1900.4899116914828	-1906.6969088509486	-1900.4899116914828	-6.206997159465705	-1900.4899116914828	0.04965864630284181	7.1932666714779	9.52534590390144	0.21770092200391272	0.24601390932507483	0.2523816201549453	0.2839035485160671	1.218578728967349	3.9951575695768407	0.3050493812566366	0.44444997321013746	0.11343660946841978
9	-1870.6252521096872	-1874.0335412249294	-1870.6252521096872	-3.40828911524222	-1870.6252521096872	0.052846458602463044	7.87508133295878	30.288559465607875	0.21262836476034047	0.25465374411685004	0.237952762101095	0.2947651290217145	0.8941059293270331	2.688250154305933	0.1865361187944156	0.23680046696616758	0.0873766628080449
10	-1865.297765830323	-1867.1150937813197	-1865.297765830323	-1.817327950996826	-1865.297765830323	0.03690070130784095	8.686882381562633	16.501001756880473	0.20265517664292448	0.27236059029060933	0.23565935886715209	0.2893248741993141	0.4423938870902475	1.8491584427324448	0.16754171518975175	0.1672289013358178	0.19496098007939
11	-1850.1931274798255	-1850.8133009123344	-1850.1931274798255	-0.6201734325088767	-1850.1931274798255	0.05078783417177019	8.296588246351373	37.750571505976346	0.2163363709421345	0.259022339288576	0.24808860156857196	0.27655268820071743	0.4763805599004616	2.0222790267555526	0.0807007114928911	0.10340729176978983	0.10584897391333568
12	-1833.6190641294986	-1833.9227350307033	-1833.6190641294986	-0.30367090120474993	-1833.6190641294986	0.04879523479883473	8.496170397037819	21.967096946760375	0.2295767186632647	0.2592901721033493	0.24782076875379866	0.26331234047958724	0.2512160220448836	2.0815167243551573	0.10364524202419619	0.18977487138695917	0.07406952641471028
